id,raw_text,json_valid,amount_ok,date_ok,merchant_ok,category_ok,type_ok,city_ok
51,Paid To - Dave Davesubfee Chk 8410676,True,True,True,False,True,False,True
52,Dividend,True,True,True,True,True,True,True
53,POS Credit Adjustment 0384 Transaction 06-02-25 Zelle*anne R Vant Visa Direct AZ,True,True,True,False,False,False,True
54,POS Credit Adjustment 0384 Transaction 05-31-25 Earnin Cecdb_b Palo Alto CA,True,True,True,True,True,False,True
55,Deposit - ACH Paid From Cleo Ai Inc 12855771 ! 060225,True,True,True,False,True,True,True
56,POS Debit- Debit Card 0384 06-01-25 Idt Boss Intl Call Www.Idt.Net NJ,True,True,True,False,True,True,True
57,POS Debit- Debit Card 0384 05-30-25 Wawa 5105 Orlando FL,True,True,True,True,False,True,True
58,POS Debit- Debit Card 0384 05-31-25 Wawa 5132 Orlando FL,True,True,True,True,False,True,True
59,POS Debit - Debit Card 0384 Transaction 06-01-25 7-Eleven Kissimmee,True,True,True,True,False,True,True
60,POS Debit- Debit Card 0384 06-01-25 Cleo Ai Meetcleo.Com DE,True,True,True,False,True,True,True
61,POS Debit- Debit Card 0384 05-31-25 Hard Rock Bet Appl Davie FL,True,True,True,False,True,True,True
62,POS Debit- Debit Card 0384 06-01-25 Zelle*beethoven M Visa Direct AZ,True,True,True,False,False,True,True
63,POS Debit- Debit Card 0384 06-01-25 Wawa 5105 Orlando FL,True,True,True,True,False,True,True
64,POS Debit- Debit Card 0384 05-30-25 Re *reversephone.C 213-894-9165 Ny,True,True,True,False,True,True,True
65,POS Debit- Debit Card 0384 06-02-25 Cash App*ter Ro Oakland CA,True,True,True,True,False,False,True
66,POS Debit- Debit Card 0384 06-01-25 Hard Rock Bet Appl Davie FL,True,True,True,False,True,True,True
67,POS Debit- Debit Card 0384 05-31-25 Hard Rock Bet Appl Davie FL,True,True,True,False,True,True,True
68,POS Debit- Debit Card 0384 05-29-25 Enableloans 855-2115599 SD,True,True,True,True,True,False,True
69,POS Credit Adjustment 0384 Transaction 06-03-25 Zelle*vladimir VI Visa Direct CA,True,True,True,False,False,False,True
70,POS Debit- Debit Card 0384 06-02-25 Wawa 5105 Orlando FL,True,True,True,True,False,True,True
71,Deposit - RTP Paid From Enableloans,True,True,True,True,True,True,True
72,POS Debit- Debit Card 0384 06-04-25 Paypal *marhone Be Visa Direct CA,True,True,True,False,False,False,True
73,POS Debit- Debit Card 0384 06-04-25 Paypal *marhone Be Visa Direct CA,True,True,True,False,False,False,True
74,POS Debit- Debit Card 0384 06-04-25 Afterpay 044-4123456 CA,True,True,True,True,True,True,True
